%eval_id interface x1             x2             x3             x4             x5             x6             obj_fn         
160      NO_ID      0.9014967627   -0.6959961416  -0.7083953494  -0.2262601163  -0.167340996   0.5924223923   2399.033005    
161      NO_ID      0.8581399465   0.0559396445   0.8102059989   0.2435696613   0.3288499417   0.5880484549   4784.854681    
162      NO_ID      0.2700268718   -0.4109968026  0.9072514096   0.9244967895   0.3155491111   0.336626887    7765.557413    
163      NO_ID      0.5688363932   -0.4575337577  -0.9336262754  0.292733681    -0.54514651    0.1141111834   2446.151604    
164      NO_ID      0.2549727434   0.4755516946   -0.2350069908  0.2068422228   0.8957278946   0.6324231694   3962.028399    
165      NO_ID      0.8322987145   0.145737391    -0.177367174   0.1053011984   0.3516112698   0.3124253934   2521.36317     
166      NO_ID      0.268766722    -0.6772697538  0.8860564018   -0.8366359401  -0.2754727904  0.06676586501  2817.139473    
167      NO_ID      0.5453297647   -0.2226041805  -0.9865994839  0.1987993307   -0.09797627262 0.2445377233   2333.088747    
168      NO_ID      0.2022234805   0.7620196239   0.6107255708   0.01729320244  -0.3253958461  0.2335414868   389.8787957    
169      NO_ID      0.854677861    -0.2661276497  -0.6973888194  0.9408438849   -0.8155895982  0.4069522224   2411.796085    
